"InvImages","InvRefIDPrefix","InvRefID","InvRefIDSuffix","InvCreationDate","ArtworkStatus::Status","InvTitle","InvPrice","GalleryLocationfor Inventory::GalName","InvHeight","InvWidth","InvDepth","Medium::MedMedium"
"size:3742,2991
image:Art Tracker Paintings/Campsite-  oil on panel 11 x 14 floater framed.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Campsite-  oil on panel 11 x 14 floater framed.jpg",,"145",,2015-03-27,,"Campsite",300,"Galeria Uno",11,14,1,"oil on panel
"
"size:2068,1528
image:Art Tracker Paintings/Cardboard House Bakery - watercolor10.75 x 8.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Cardboard House Bakery - watercolor10.75 x 8.jpg",,"31",,2012-02-16,"Available","Cardboard House Bakery",450,"Vancouver home",8,10.75,,"Watercolor"
"size:2959,3679
image:Art Tracker Paintings/Carpinteria 2-  oil on canvas 8 x 10.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Carpinteria 2-  oil on canvas 8 x 10.jpg",,"44",,2012-02-24,"Available","Carpinteria 2",300,"Mexico Studio",10,8,,"Oil on canvas"
"size:2932,1699
image:Art Tracker Paintings/Casa Ariba - SOLD.JPG
imagewin:/C:/ArtTracker/Art Tracker Paintings/Casa Ariba - SOLD.JPG",,"35",,2012-02-16,"Sold","Casa Arriba",150,"SOLD",8,13.5,,"Oil on canvas"
"size:3533,2670
image:Art Tracker Paintings/Crescent Beach Shed - oil on canvas 18 x 24.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Crescent Beach Shed - oil on canvas 18 x 24.jpg",,"115",,2012-03-15,"Available","Crescent Beach Shed",1000,"Vancouver home",18,24,,"Acrylic"
"size:2208,1104
image:Art Tracker Paintings/De La Red - oil on panel.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/De La Red - oil on panel.jpg",,"16",,2012-02-16,"Sold","De La Red",,"SOLD",5,8,,
"size:3072,1541
image:Art Tracker Paintings/Dos  Pangas - oil on canvas 12 x 24.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Dos  Pangas - oil on canvas 12 x 24.jpg",,"168",,2015-04-05,"Sold","Dos Pangas",,"SOLD",12,24,0.75,"Oil on canvas"
"size:1060,1484
image:Art Tracker Paintings/Emilys Treehouse 2 - watercolor 14 x 10.JPG
imagewin:/C:/ArtTracker/Art Tracker Paintings/Emilys Treehouse 2 - watercolor 14 x 10.JPG",,"79",,2012-03-13,,"Emily's Treehouse 2",650,,10,14,,"Watercolor"
"size:2069,1368
image:Art Tracker Paintings/End Of The Season 3 - acrylic on canvas 20 x 30 Framed.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/End Of The Season 3 - acrylic on canvas 20 x 30 Framed.jpg",,"14",,2012-02-16,"Sold","End of the Season 3",1450,"SOLD",20,30,,"Acrylic"
"size:540,450
image:Art Tracker Paintings/end of the season.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/end of the season.jpg",,"38",,2012-02-23,"Sold","End of the Season II",1650,"SOLD",30,36,,"Oil on canvas"
"size:1024,715
image:Art Tracker Paintings/Evening At Martins - oil on canvas 20 x 28.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Evening At Martins - oil on canvas 20 x 28.jpg",,"84",,2012-03-13,"Sold","Evening at Martin's

",1200,"SOLD",20,28,,"Oil on canvas"
"size:355,450
image:Art Tracker Paintings/Evergreen.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Evergreen.jpg",,"85",,2012-03-13,,"Evergreen",300,"Vancouver home",10,8,,"Oil on canvas"
